player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2022,3802,1892,-2.517926470135665,1.761682363380004,-.7562441067556616,-1.683898703456868,3.096016535301553,1.412117831844685,-2.513656993232969,2.14101689185303,-.3726401013799393,2.262929452322234,2.313422182693117,-.0504927303708829,-2.479505413747162,2.026742402930578,-.4527630108165849,-.7281016229984406
Steven Adams,adamsst01,2022,4392,2113,.4562120500997408,1.439223456190006,1.895435506289746,6.295055432557993,-3.182735770376959,3.112319662181033,1.673040216493982,.5236157946772156,2.196656011171198,5.328987625093906,5.130956423867796,.1980312012261102,1.38731785042035,1.582135919712982,2.969453770133332,-.2428906547229107
Bam Adebayo,adebaba01,2022,4646,2313,-.3801151976321766,3.74431449286918,3.364199295237003,2.190615591453914,3.766291789313593,5.956907380767507,.1072976512632887,3.928983485246683,4.036281136509972,8.075361851436313,6.121055957931138,1.954305893505175,.3659562024464212,3.451037027702794,3.816993230149216,.0436758435590082
Santi Aldama,aldamsa01,2022,763,360,-2.609310557020421,-2.39911269404603,-5.008423251066452,-2.73611739588817,1.181421776953903,-1.554695618934267,-2.837236220360063,-1.84398980119584,-4.681226021555904,-.355981867920068,-.355981867920068,0,-1.679347399498213,-2.268436729071186,-3.947784128569399,.3579687222062465
LaMarcus Aldridge,aldrila01,2022,2205,1050,-.494120179412351,2.324342905549025,1.830222726136674,1.097832373743035,-.444927876567523,.6529044971755121,-.2216444629250331,1.901568718442781,1.679924255517748,2.367802354628116,2.367802354628116,0,.3112257348636216,.9071866250252985,1.21841235988892,-.2255445834246555
Nickeil Alexander-Walker,alexani01,2022,3037,1471,-1.50121158860759,-1.210850444454008,-2.712062033061598,-2.398220360300573,-.9664286121758634,-3.364648972476436,-1.773555025809821,-1.225752595295702,-2.999307621105524,-.2002897886051748,-.2960798350730284,.0957900464678536,-.7342872661388573,-1.322470397807745,-2.056757663946602,.6863697734760744
Grayson Allen,allengr01,2022,4468,2110,.4632885060127335,-.3131362161618979,.1501522898508356,-.6748363759814342,1.117126767056384,.4422903910749503,.2313620240604133,-.071042716017093,.1603193080433203,3.139465960818836,2.875385452346313,.2640805084725228,.0745248449505453,-.2543669166297134,-.1798420716791681,.021913202873739
Jarrett Allen,allenja01,2022,3667,1809,.2098728021867451,4.248580188094519,4.458452990281264,.0320849780807655,2.331786274912865,2.36387125299363,.1865614844723772,4.065036705597944,4.251598190070321,6.431166791731876,6.431166791731876,0,-.073348604346419,3.444809433959079,3.37146082961266,-.4792802528809134
Jose Alvarado,alvarjo01,2022,1979,951,.6601671178409078,4.005331713819364,4.665498831660273,-.158056587167094,4.40908182962848,4.251025242461385,.5187263772824107,4.348797697654795,4.867524074937205,3.667605144766837,3.608623309701746,.0589818350650906,.4948018135793706,4.024505272919789,4.519307086499159,-.1693034251721224
Justin Anderson,anderju01,2022,658,316,-.815953841361363,-4.82530804654226,-5.641261887903624,2.431616225908038,-3.023533456563426,-.5919172306553879,-.1829153212513259,-4.710647290661929,-4.893562611913256,-.3492721666608259,-.3492721666608259,0,-1.61208685362348,-4.118576385575008,-5.730663239198488,-.6451277038692356
Kyle Anderson,anderky01,2022,3687,1705,-1.034791593598032,.7762530824969327,-.2585385111010988,-1.856135833132589,.27079164080655,-1.585344192326039,-1.307398029659853,.6699409134363574,-.6374571162234953,1.848500609123998,1.629651057877976,.2188495512460224,-1.115431309786536,1.01106032225671,-.1043709875298269,.2146732886393938
Giannis Antetokounmpo,antetgi01,2022,5669,2652,5.488769581817881,2.006923142909984,7.495692724727864,4.355260855801813,3.910758220654204,8.266019076456017,5.568697177918636,2.493165029153816,8.061862207072453,14.97074165817639,12.01138002547014,2.959361632706249,4.982994249103565,2.013740052355563,6.99673430145913,1.647908086139697
Thanasis Antetokounmpo,antetth01,2022,1053,493,-2.463451919651138,-.1255528528839253,-2.589004772535063,-4.83732055464692,-2.904985928690224,-7.742306483337144,-3.137476055489998,-.7206227754365624,-3.85809883092656,-.2775324106566471,-.2254153203573339,-.0521170902993132,-2.694214345993455,-.8635710271024095,-3.557785373095864,.1190602640994041
Carmelo Anthony,anthoca01,2022,3850,1793,.2261389127010772,-2.103009682076479,-1.876870769375402,-.4470391090110611,-.2002644636548562,-.6473035726659173,.1239954403888309,-1.808754144801965,-1.684758704413134,.9735839911943568,.9735839911943568,0,.0807117531760472,-2.13055004320706,-2.049838290031012,-.090985578571332
Cole Anthony,anthoco01,2022,4282,2059,-.5024046967351665,-2.066170623490105,-2.568575320225271,.9249633526873692,-1.050912304903567,-.1259489522161977,-.1121238205176384,-1.964843662432384,-2.076967482950022,.7060273554458866,.7060273554458866,0,-1.176415195779887,-1.43678235719916,-2.613197552979046,-.1406666133413663
OG Anunoby,anunoog01,2022,3910,1945,.0709040436814837,-.4802348771779301,-.4093308334964463,.5420913046430491,1.249154759333543,1.791246063976592,.1599309867155523,-.1664986035616262,-.0065676168460739,2.756264084733507,2.08113540422395,.6751286805095565,.597442622370606,.7176262111034167,1.315068833474023,-.1403956703845332
Ryan Arcidiacono,arcidry01,2022,157,76,-2.102741188378522,6.231071903711529,4.128330715333007,-11.52403505122365,2.244094699405384,-9.27994035181827,-4.238746107843371,5.738309065726941,1.499562957883571,.1654484244042565,.1654484244042565,0,-4.608524877660842,3.002821724004398,-1.605703153656444,.4070879997273412
